tick,hour_of_week,tick_Wh,sleep_nodes,alive_capacity_fraction
0,0,1368.3083333333334,23,0.7002551020408163
1,0,1034.975,43,0.4247448979591837
2,0,1034.975,43,0.4247448979591837
3,0,1034.975,43,0.4247448979591837
4,0,1034.975,43,0.4247448979591837
5,0,1051.6416666666667,42,0.44260204081632654
6,0,1051.6416666666667,42,0.44260204081632654
7,0,1051.6416666666667,42,0.44260204081632654
8,0,1051.6416666666667,42,0.44260204081632654
9,0,1051.6416666666667,42,0.44260204081632654
10,0,1051.6416666666667,42,0.44260204081632654
11,0,1051.6416666666667,42,0.44260204081632654
12,1,1051.6416666666667,42,0.44260204081632654
13,1,1051.6416666666667,42,0.44260204081632654
14,1,1051.6416666666667,42,0.44260204081632654
15,1,1051.6416666666667,42,0.44260204081632654
16,1,1051.6416666666667,42,0.44260204081632654
17,1,1051.6416666666667,42,0.44260204081632654
18,1,1051.6416666666667,42,0.44260204081632654
19,1,1051.6416666666667,42,0.44260204081632654
20,1,1051.6416666666667,42,0.44260204081632654
21,1,1051.6416666666667,42,0.44260204081632654
22,1,1051.6416666666667,42,0.44260204081632654
23,1,1051.6416666666667,42,0.44260204081632654
24,2,1051.6416666666667,42,0.44260204081632654
25,2,1051.6416666666667,42,0.44260204081632654
26,2,1051.6416666666667,42,0.44260204081632654
27,2,1051.6416666666667,42,0.44260204081632654
28,2,1051.6416666666667,42,0.44260204081632654
29,2,1051.6416666666667,42,0.44260204081632654
30,2,1051.6416666666667,42,0.44260204081632654
31,2,1051.6416666666667,42,0.44260204081632654
32,2,1051.6416666666667,42,0.44260204081632654
33,2,1051.6416666666667,42,0.44260204081632654
34,2,1051.6416666666667,42,0.44260204081632654
35,2,1051.6416666666667,42,0.44260204081632654
36,3,1051.6416666666667,42,0.44260204081632654
37,3,1051.6416666666667,42,0.44260204081632654
38,3,1051.6416666666667,42,0.44260204081632654
39,3,1051.6416666666667,42,0.44260204081632654
40,3,1051.6416666666667,42,0.44260204081632654
41,3,1051.6416666666667,42,0.44260204081632654
42,3,1051.6416666666667,42,0.44260204081632654
43,3,1051.6416666666667,42,0.44260204081632654
44,3,1051.6416666666667,42,0.44260204081632654
45,3,1051.6416666666667,42,0.44260204081632654
46,3,1051.6416666666667,42,0.44260204081632654
47,3,1051.6416666666667,42,0.44260204081632654
48,4,1051.6416666666667,42,0.44260204081632654
49,4,1051.6416666666667,42,0.44260204081632654
50,4,1051.6416666666667,42,0.44260204081632654
51,4,1051.6416666666667,42,0.44260204081632654
52,4,1051.6416666666667,42,0.44260204081632654
53,4,1051.6416666666667,42,0.44260204081632654
54,4,1051.6416666666667,42,0.44260204081632654
55,4,1051.6416666666667,42,0.44260204081632654
56,4,1051.6416666666667,42,0.44260204081632654
57,4,1051.6416666666667,42,0.44260204081632654
58,4,1051.6416666666667,42,0.44260204081632654
59,4,1051.6416666666667,42,0.44260204081632654
60,5,1051.6416666666667,42,0.44260204081632654
61,5,1051.6416666666667,42,0.44260204081632654
62,5,1051.6416666666667,42,0.44260204081632654
63,5,1051.6416666666667,42,0.44260204081632654
64,5,1051.6416666666667,42,0.44260204081632654
65,5,1051.6416666666667,42,0.44260204081632654
66,5,1051.6416666666667,42,0.44260204081632654
67,5,1051.6416666666667,42,0.44260204081632654
68,5,1051.6416666666667,42,0.44260204081632654
69,5,1051.6416666666667,42,0.44260204081632654
70,5,1051.6416666666667,42,0.44260204081632654
71,5,1051.6416666666667,42,0.44260204081632654
72,6,1051.6416666666667,42,0.44260204081632654
73,6,1051.6416666666667,42,0.44260204081632654
74,6,1051.6416666666667,42,0.44260204081632654
75,6,1051.6416666666667,42,0.44260204081632654
76,6,1051.6416666666667,42,0.44260204081632654
77,6,1051.6416666666667,42,0.44260204081632654
78,6,1051.6416666666667,42,0.44260204081632654
79,6,1051.6416666666667,42,0.44260204081632654
80,6,1051.6416666666667,42,0.44260204081632654
81,6,1051.6416666666667,42,0.44260204081632654
82,6,1051.6416666666667,42,0.44260204081632654
83,6,1051.6416666666667,42,0.44260204081632654
84,7,1767.2077345385555,0,1.0
85,7,1766.772679108047,0,1.0
86,7,1766.9311799649163,0,1.0
87,7,1786.4071057014025,0,1.0
88,7,1786.4082920988715,0,1.0
89,7,1786.7016042919267,0,1.0
90,7,1787.1002925664438,0,1.0
91,7,1786.75824067632,0,1.0
92,7,1786.4351517937516,0,1.0
93,7,1786.4654506153875,0,1.0
94,7,1786.668937502612,0,1.0
95,7,1787.3335471348785,0,1.0
96,8,1786.6504599980192,0,1.0
97,8,1786.998525816809,0,1.0
98,8,1786.5430308294265,0,1.0
99,8,1786.6711840188254,0,1.0
100,8,1786.531276876089,0,1.0
101,8,1786.979068356028,0,1.0
102,8,1787.0197619378,0,1.0
103,8,1786.8321825365977,0,1.0
104,8,1786.6385729069218,0,1.0
105,8,1786.6984240356326,0,1.0
106,8,1786.5782557964149,0,1.0
107,8,1786.035723483776,0,1.0
108,9,1786.7932400637415,0,1.0
109,9,1786.6555472786813,0,1.0
110,9,1786.4780236236113,0,1.0
111,9,1786.8356840737126,0,1.0
112,9,1786.5357056148678,0,1.0
113,9,1786.984990291549,0,1.0
114,9,1786.5091845630786,0,1.0
115,9,1786.8371383375963,0,1.0
116,9,1786.9207083233414,0,1.0
117,9,1786.756770396318,0,1.0
118,9,1786.7522962964933,0,1.0
119,9,1786.682599560996,0,1.0
120,10,1787.0103101671393,0,1.0
121,10,1787.0242743242625,0,1.0
122,10,1786.514758762003,0,1.0
123,10,1786.7271817957298,0,1.0
124,10,1786.4215808101783,0,1.0
125,10,1787.3678164026492,0,1.0
126,10,1787.8886953913325,0,1.0
127,10,1786.9158090329443,0,1.0
128,10,1787.9600897019964,0,1.0
129,10,1786.8311260114108,0,1.0
130,10,1788.3358917537084,0,1.0
131,10,1786.5297629901133,0,1.0
132,11,1786.9591666275737,0,1.0
133,11,1787.1619134231473,0,1.0
134,11,1786.9400447020744,0,1.0
135,11,1787.897628967692,0,1.0
136,11,1787.2772160550114,0,1.0
137,11,1786.7985755594593,0,1.0
138,11,1787.1425541648189,0,1.0
139,11,1786.84602286792,0,1.0
140,11,1787.3404433104574,0,1.0
141,11,1787.4309362014492,0,1.0
142,11,1787.6198561882932,0,1.0
143,11,1787.079620693159,0,1.0
144,12,1787.3622632450315,0,1.0
145,12,1787.3177008892417,0,1.0
146,12,1787.14310261179,0,1.0
147,12,1786.9469751729398,0,1.0
148,12,1786.7610071896133,0,1.0
149,12,1787.6537909099966,0,1.0
150,12,1787.7449662548672,0,1.0
151,12,1787.5580915128305,0,1.0
152,12,1787.1850490448116,0,1.0
153,12,1787.0619780906839,0,1.0
154,12,1787.0336506298781,0,1.0
155,12,1788.6846632603197,0,1.0
156,13,1787.3168701138266,0,1.0
157,13,1787.0683134761357,0,1.0
158,13,1787.9267953334352,0,1.0
159,13,1787.0055388468231,0,1.0
160,13,1787.3782405715965,0,1.0
161,13,1787.3415791857792,0,1.0
162,13,1787.5137706731175,0,1.0
163,13,1787.7926409742188,0,1.0
164,13,1787.1505044439687,0,1.0
165,13,1787.0508745112613,0,1.0
166,13,1787.2615071080647,0,1.0
167,13,1787.873304050989,0,1.0
168,14,1786.9277120360248,0,1.0
169,14,1787.2574837726493,0,1.0
170,14,1786.9694656134297,0,1.0
171,14,1786.6810356345825,0,1.0
172,14,1787.5778772169324,0,1.0
173,14,1786.879659298837,0,1.0
174,14,1788.5108517740196,0,1.0
175,14,1790.3707149634947,0,1.0
176,14,1786.8643509925414,0,1.0
177,14,1787.2577486673365,0,1.0
